date,city,precipitation,month,year
1/1/2020,NYC,0,1,2020
1/2/2020,NYC,0,1,2020
1/3/2020,NYC,0.13,1,2020
1/4/2020,NYC,0.16,1,2020
1/5/2020,NYC,0,1,2020
1/6/2020,NYC,0.03,1,2020
1/7/2020,NYC,0.03,1,2020
1/8/2020,NYC,0,1,2020
1/9/2020,NYC,0,1,2020
1/10/2020,NYC,0,1,2020
1/11/2020,NYC,0,1,2020
1/12/2020,NYC,0.03,1,2020
1/13/2020,NYC,0,1,2020
1/14/2020,NYC,0.03,1,2020
1/15/2020,NYC,0,1,2020
1/16/2020,NYC,0.03,1,2020
1/17/2020,NYC,0,1,2020
1/18/2020,NYC,0.58,1,2020
1/19/2020,NYC,0,1,2020
1/20/2020,NYC,0,1,2020
1/21/2020,NYC,0,1,2020
1/22/2020,NYC,0,1,2020
1/23/2020,NYC,0,1,2020
1/24/2020,NYC,0,1,2020
1/25/2020,NYC,0.89,1,2020
1/26/2020,NYC,0,1,2020
1/27/2020,NYC,0,1,2020
1/28/2020,NYC,0,1,2020
1/29/2020,NYC,0,1,2020
1/30/2020,NYC,0,1,2020
1/31/2020,NYC,0.02,1,2020
2/1/2020,NYC,0.04,2,2020
2/2/2020,NYC,0.01,2,2020
2/3/2020,NYC,0,2,2020
2/4/2020,NYC,0.03,2,2020
2/5/2020,NYC,0,2,2020
2/6/2020,NYC,0.7,2,2020
2/7/2020,NYC,0.28,2,2020
2/8/2020,NYC,0,2,2020
2/9/2020,NYC,0,2,2020
2/10/2020,NYC,0.38,2,2020
2/11/2020,NYC,0.33,2,2020
2/12/2020,NYC,0.12,2,2020
2/13/2020,NYC,0.31,2,2020
2/14/2020,NYC,0,2,2020
2/15/2020,NYC,0,2,2020
2/16/2020,NYC,0,2,2020
2/17/2020,NYC,0,2,2020
2/18/2020,NYC,0,2,2020
2/19/2020,NYC,0,2,2020
2/20/2020,NYC,0,2,2020
2/21/2020,NYC,0,2,2020
2/22/2020,NYC,0,2,2020
2/23/2020,NYC,0,2,2020
2/24/2020,NYC,0,2,2020
2/25/2020,NYC,0.19,2,2020
2/26/2020,NYC,0.02,2,2020
2/27/2020,NYC,1,2,2020
2/28/2020,NYC,0,2,2020
2/29/2020,NYC,0,2,2020
3/1/2020,NYC,0,3,2020
3/2/2020,NYC,0,3,2020
3/3/2020,NYC,0.28,3,2020
3/4/2020,NYC,0,3,2020
3/5/2020,NYC,0,3,2020
3/6/2020,NYC,0.07,3,2020
3/7/2020,NYC,0,3,2020
3/8/2020,NYC,0,3,2020
3/9/2020,NYC,0,3,2020
3/10/2020,NYC,0,3,2020
3/11/2020,NYC,0,3,2020
3/12/2020,NYC,0.05,3,2020
3/13/2020,NYC,0.3,3,2020
3/14/2020,NYC,0,3,2020
3/15/2020,NYC,0,3,2020
3/16/2020,NYC,0,3,2020
3/17/2020,NYC,0.18,3,2020
3/18/2020,NYC,0.01,3,2020
3/19/2020,NYC,1.07,3,2020
3/20/2020,NYC,0,3,2020
3/21/2020,NYC,0,3,2020
3/22/2020,NYC,0,3,2020
3/23/2020,NYC,1.28,3,2020
3/24/2020,NYC,0,3,2020
3/25/2020,NYC,0,3,2020
3/26/2020,NYC,0,3,2020
3/27/2020,NYC,0,3,2020
3/28/2020,NYC,0.37,3,2020
3/29/2020,NYC,0.09,3,2020
3/30/2020,NYC,0.04,3,2020
3/31/2020,NYC,0.02,3,2020
4/1/2020,NYC,0,4,2020
4/2/2020,NYC,0,4,2020
4/3/2020,NYC,0.01,4,2020
4/4/2020,NYC,0,4,2020
4/5/2020,NYC,0,4,2020
4/6/2020,NYC,0.06,4,2020
4/7/2020,NYC,0,4,2020
